year,state,crop,season,c2,msp
2007,Gujarat,Bajra,Kharif,605.0,600.0
2008,Gujarat,Bajra,Kharif,642.5766666666667,816.4
2009,Gujarat,Bajra,Kharif,680.1533333333333,1032.8
2010,Gujarat,Bajra,Kharif,717.73,880.0
2011,Gujarat,Bajra,Kharif,762.75,980.0
2012,Gujarat,Bajra,Kharif,884.28,1175.0
2013,Gujarat,Bajra,Kharif,993.41,1250.0
2014,Gujarat,Bajra,Kharif,1097.43,1250.0
2015,Gujarat,Bajra,Kharif,1400.0,1275.0
2016,Gujarat,Bajra,Kharif,1251.98,1330.0
2017,Gujarat,Bajra,Kharif,1374.0,1425.0
2018,Gujarat,Bajra,Kharif,1508.85,1950.0
2019,Gujarat,Bajra,Kharif,1321.0,2000.0
2020,Gujarat,Bajra,Kharif,1360.0,2150.0
2021,Gujarat,Bajra,Kharif,1141.3333333333333,1633.3333333333335
2022,Gujarat,Bajra,Kharif,922.6666666666667,1116.6666666666667
2007,Haryana,Bajra,Kharif,704.0,600.0
2008,Haryana,Bajra,Kharif,827.9433333333333,739.95
2009,Haryana,Bajra,Kharif,951.8866666666667,879.9
2010,Haryana,Bajra,Kharif,1075.83,880.0
2011,Haryana,Bajra,Kharif,896.69,980.0
2012,Haryana,Bajra,Kharif,1007.82,1175.0
2013,Haryana,Bajra,Kharif,1132.89,1250.0
2014,Haryana,Bajra,Kharif,1243.68,1250.0
2015,Haryana,Bajra,Kharif,1300.0,1275.0
2016,Haryana,Bajra,Kharif,1380.05,1330.0
2017,Haryana,Bajra,Kharif,1515.65,1425.0
2018,Haryana,Bajra,Kharif,1656.78,1950.0
2019,Haryana,Bajra,Kharif,1601.0,2000.0
2020,Haryana,Bajra,Kharif,1662.0,2150.0
2021,Haryana,Bajra,Kharif,1354.0,1633.3333333333335
2022,Haryana,Bajra,Kharif,1046.0,1116.6666666666667
2007,Maharashtra,Bajra,Kharif,738.0,600.0
2008,Maharashtra,Bajra,Kharif,786.3466666666667,795.0350000000001
2009,Maharashtra,Bajra,Kharif,834.6933333333333,990.07
2010,Maharashtra,Bajra,Kharif,883.04,880.0
2011,Maharashtra,Bajra,Kharif,1073.76,980.0
2012,Maharashtra,Bajra,Kharif,1184.14,1175.0
2013,Maharashtra,Bajra,Kharif,1297.87,1250.0
2014,Maharashtra,Bajra,Kharif,1419.64,1250.0
2015,Maharashtra,Bajra,Kharif,1500.0,1275.0
2016,Maharashtra,Bajra,Kharif,1587.72,1330.0
2017,Maharashtra,Bajra,Kharif,1746.5,1425.0
2018,Maharashtra,Bajra,Kharif,1913.31,1950.0
2019,Maharashtra,Bajra,Kharif,2702.0,2000.0
2020,Maharashtra,Bajra,Kharif,2747.0,2150.0
2021,Maharashtra,Bajra,Kharif,2052.0833333333335,1633.3333333333335
2022,Maharashtra,Bajra,Kharif,1357.1666666666667,1116.6666666666667
2007,Punjab,Bajra,Kharif,662.25,600.0
2008,Punjab,Bajra,Kharif,721.9825,816.4
2009,Punjab,Bajra,Kharif,781.715,1032.8
2010,Punjab,Bajra,Kharif,841.4475,880.0
2011,Punjab,Bajra,Kharif,873.3050000000001,980.0
2012,Punjab,Bajra,Kharif,983.5025,1175.0
2013,Punjab,Bajra,Kharif,1099.52,1250.0
2016,Punjab,Bajra,Kharif,1359.5425,1330.0
2017,Punjab,Bajra,Kharif,1494.3725,1425.0
2018,Punjab,Bajra,Kharif,1638.5475,1950.0
2019,Punjab,Bajra,Kharif,1701.5,2000.0
2020,Punjab,Bajra,Kharif,1745.75,2150.0
2021,Punjab,Bajra,Kharif,1364.5,1633.3333333333335
2022,Punjab,Bajra,Kharif,983.25,1116.6666666666667
2007,Uttar Pradesh,Bajra,Kharif,602.0,600.0
2008,Uttar Pradesh,Bajra,Kharif,631.0633333333334,689.25
2009,Uttar Pradesh,Bajra,Kharif,660.1266666666667,778.5
2010,Uttar Pradesh,Bajra,Kharif,689.19,880.0
2011,Uttar Pradesh,Bajra,Kharif,760.02,980.0
2012,Uttar Pradesh,Bajra,Kharif,857.77,1175.0
2013,Uttar Pradesh,Bajra,Kharif,973.91,1250.0
2014,Uttar Pradesh,Bajra,Kharif,1076.62,1250.0
2015,Uttar Pradesh,Bajra,Kharif,1050.0,1275.0
2016,Uttar Pradesh,Bajra,Kharif,1218.42,1330.0
