year,state,crop,season,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
2007,Gujarat,Bajra,Kharif,728200.0,851700.0,1.1695962647624278
2007,Gujarat,Cotton,Kharif,2422000.0,1407431.9727891155,0.581103209244061
2007,Gujarat,Gram,Rabi,214800.0,210200.0,0.978584729981378
2007,Gujarat,Groundnut,Kharif,1712400.0,3049200.0,1.7806587245970569
2007,Gujarat,Jowar,Kharif,81400.0,110900.0,1.3624078624078624
2007,Gujarat,Jowar,Rabi,46600.0,45500.0,0.9763948497854076
2007,Gujarat,Maize,Kharif,424000.0,583100.0,1.3752358490566037
2007,Gujarat,Moong,Kharif,209400.0,114400.0,0.5463228271251194
2007,Gujarat,Paddy,Kharif,726000.0,1376300.0,1.8957300275482087
2007,Gujarat,Ragi,Kharif,21700.0,18200.0,0.8387096774193549
2007,Gujarat,Rapeseed & Mustard,Rabi,337000.0,551100.0,1.6353115727002967
2007,Gujarat,Sesame,Kharif,299600.0,140900.0,0.4702937249666221
2007,Gujarat,Tur,Kharif,265100.0,294200.0,1.1097698981516408
2007,Gujarat,Urad,Kharif,104200.0,71200.0,0.6833013435700576
2007,Gujarat,Wheat,Rabi,1273900.0,3837700.0,3.012559855561661
2007,Haryana,Bajra,Kharif,627983.0,1156000.0,1.8408141621668104
2007,Haryana,Barley,Rabi,39528.0,120000.0,3.035822707953856
2007,Haryana,Cotton,Kharif,482474.0,320068.0272108843,0.6633891716670418
2007,Haryana,Gram,Rabi,107338.0,54000.0,0.503083716857031
2007,Haryana,Groundnut,Kharif,1314.0,1000.0,0.76103500761035
2007,Haryana,Jowar,Kharif,90728.0,41000.0,0.4519001851688564
2007,Haryana,Maize,Kharif,13777.0,37000.0,2.685635479422225
2007,Haryana,Masoor,Rabi,3430.0,2600.0,0.7580174927113703
2007,Haryana,Moong,Kharif,21796.0,9600.0,0.4404477885850615
2007,Haryana,Paddy,Kharif,1072545.0,3606000.0,3.3620966952435563
2007,Haryana,Rapeseed & Mustard,Rabi,496483.0,597000.0,1.2024580902065125
